2022-06-12 12:03:21,170 (INFO)	||| Initing data transform of ETH historical data!
2022-06-12 12:03:21,179 (INFO)	||| ETL to obtain ETH historical data in USD value finished!
2022-06-12 12:03:21,182 (INFO)	||| test finished!
2022-06-12 12:03:21,186 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:03:21,653 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (rows = 606)!
2022-06-12 12:03:21,656 (INFO)	||| Initing data transform of AAVE historical data!
2022-06-12 12:03:21,663 (INFO)	||| ETL to obtain AAVE historical data in USD value finished!
2022-06-12 12:03:21,664 (INFO)	||| test finished!
2022-06-12 12:03:21,665 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:03:23,005 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (rows = 928)!
2022-06-12 12:03:23,007 (INFO)	||| Initing data transform of BCH historical data!
2022-06-12 12:03:23,010 (INFO)	||| ETL to obtain BCH historical data in USD value finished!
2022-06-12 12:03:23,011 (INFO)	||| test finished!
2022-06-12 12:03:23,012 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:03:24,258 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (rows = 997)!
2022-06-12 12:03:24,259 (INFO)	||| Initing data transform of BUSD historical data!
2022-06-12 12:03:24,262 (INFO)	||| ETL to obtain BUSD historical data in USD value finished!
2022-06-12 12:03:24,263 (INFO)	||| test finished!
2022-06-12 12:03:24,265 (INFO)	||| Initing extract of Alpha Vantage!
2022-06-12 12:03:24,583 (WARNING)	||| Extracting less rows from Alpha Vantage API than waited (rows = 2)!
2022-06-12 12:03:24,584 (ERROR)	||| Extracting more columns from Alpha Vantage API than expected (cols = 1)!
2022-06-12 12:03:24,584 (INFO)	||| Generic error in ETL's test, check the code!
2022-06-12 12:05:09,478 (INFO)	||| Initing extract of ETL to obtain BTC historical data in USD value!
2022-06-12 12:05:10,668 (INFO)	||| Initing data transform of BTC historical data!
2022-06-12 12:05:10,671 (INFO)	||| ETL finished!
2022-06-12 12:05:10,672 (INFO)	||| test finished!
